claim_id,proposed_claim,exact_wording_permitted,source_file_or_derivation,arithmetic_type,validation_status,manuscript_destination,prohibited_stronger_wording
C01,Degree-ten atlas dimension,"the degree-ten graded piece has dimension 14",results/10d_order10.json,exact modular (2 primes),VERIFIED,sec:atlas,"proved over Q; complete classification of the ring"
C02,Published span dimension,"the published structures span a twelve-dimensional subspace",results/intrinsic_candidates/degree10_space_incidence.json,exact modular (2 primes),VERIFIED,sec:decomp,"the published structures are a basis"
C03,Product subspace,"the only degree-ten products are I4*I6_1 and I4*I6_2, spanning a two-dimensional subspace",results/intrinsic_candidates/degree10_published_product_intersection.json,exact modular (2 primes),VERIFIED,sec:decomp,"products exhaust the non-primitive part of every degree"
C04,Published span is not a product complement,"the published span contains exactly one product direction; its non-product content is eleven",results/intrinsic_candidates/degree10_published_product_intersection.json,exact modular (2 primes),VERIFIED,sec:decomp,"the published structures are wrong"
C05,Structural decomposition,"A10 = G10 (+) P10",results/intrinsic_candidates/degree10_space_incidence.json,exact modular (2 primes),VERIFIED,sec:decomp,"this decomposition is canonical"
C06,Products lie in the reachable subspace,"P10 is contained in D10, so products contribute nothing to Q10",results/intrinsic_candidates/degree10_space_incidence.json,exact modular (2 primes),VERIFIED,sec:decomp,"the flow reaches all products at every degree"
C07,Quotient dimension,"dim Q10 = 3, with explicit representatives",results/10d_order10.json + quotient certificates,exact modular (2 primes),VERIFIED,sec:decomp;sec:pureN,"Q10 is canonically defined; the basis is canonical"
C08,Reverse recovery,"a bounded search independent of the published-formula evaluators recovers the same quotient span",docs/DEGREE10_REVERSE_SEARCH_SCOPE.md,exact modular,VERIFIED,sec:reverse,"exhaustive enumeration"
C09,Null frame is split,"the oscillator frame has real signature (5,5)",tests/test_bridge.py::test_null_frame_signature_is_split,float64 eigenvalues of an exact integer matrix,VERIFIED,sec:signature,"this is a new result"
C10,Frame congruence,"the two metrics are congruent over F_p and the transition is exact",spinor_trace_bridge/results/bridge_validation.json,exact modular (2 primes),VERIFIED,sec:signature,"the two real forms are equivalent"
C11,Bridge kernel,"the kernel equals the anti-self-dual 126",spinor_trace_bridge/results/bridge_validation.json,exact modular (2 primes),VERIFIED,sec:bridge,"proved over Q"
C12,Bridge image,"the image equals the gamma-traceless 126",spinor_trace_bridge/results/bridge_validation.json,exact modular (2 primes),VERIFIED,sec:bridge,"proved over Q"
C13,Left inverse,"inverse . forward equals the self-dual projector, exactly",spinor_trace_bridge/results/bridge_validation.json,exact modular (2 primes),VERIFIED,sec:bridge,"the map is invertible"
C14,Equivariance,"equivariant at sampled group elements, exactly, with the character solved for",spinor_trace_bridge/results/bridge_validation.json,exact modular (2 primes),VERIFIED,sec:bridge,"proved equivariant for all group elements"
C15,Span equality at degrees 4 and 6,"the evaluation spans coincide, validated on holdout samples",verification/spinor_trace_comparison.json,exact modular (2 primes),VERIFIED,sec:comparison,"the two implementations are identical"
C16,Span equality at degree 10,"both sides reach 14 and the spans coincide, validated on holdout samples",verification/spinor_trace_comparison.json,exact modular (1 prime),VERIFIED,sec:comparison,"verified at two primes"
C17,Degree-eight shortfall,"the port-graph stream reaches 6 of 7; the containment is strict",verification/spinor_trace_comparison.json,exact modular (1 prime),VERIFIED,sec:comparison,"the bridge fails at degree eight"
C18,Exact Jacobian lower bound,"exact modular rank 59 for the port-graph subset of the archived selection, a rigorous lower bound in characteristic zero",verification/spinor_archive_jacobian_exact.json,exact modular (1 prime; 3 points),VERIFIED,sec:jacobian,"we reproduce rank 81; we prove the generic dimension"
C19,Generic functional dimension,"81 follows analytically from the trivial generic stabiliser",literature (arXiv:2509.14351),analytic,LITERATURE,sec:intro;sec:jacobian,"we computed 81; we discovered 81"
C20,Degenerate float64 run,"a run with numerically zero rows gives a tolerance-dependent rank; normalising such rows manufactures rank",verification/SPINOR_JACOBIAN_RUNS.json,float64,PENDING RUN,app:jacobian,"the archive is wrong"
C21,Physics implication,"the stress flow misses exactly three degree-ten directions, and representatives are exhibited",results/stress_flow/*,exact modular (2 primes),VERIFIED BUT INTERPRETATION UNCONFIRMED,sec:physics,"a Type IIB prediction; a supersymmetric completion; an all-orders theorem"
